maintenance_id,charger_id,issue_type,reported_date,resolved_date,downtime_hours,maintenance_cost,status
1,3,Cooling System,2023-05-03,2023-05-04 06:04:48,30.08,13884.35,Resolved
2,3,Cooling System,2023-06-02,2023-06-03 08:31:48,32.53,2435.64,Resolved
3,3,Connector,2023-09-29,2023-09-30 22:03:00,46.05,6943.02,Resolved
4,4,Software,2025-03-17,2025-03-17 09:58:12,9.97,12832.31,Resolved
5,4,Hardware,2025-04-28,2025-04-30 17:52:12,65.87,4674.67,Resolved
6,5,Cooling System,2024-06-09,2024-06-10 04:24:36,28.41,11377.88,Resolved
7,7,Power Supply,2024-01-27,2024-01-29 15:59:24,63.99,13761.67,Resolved
8,7,Connector,2024-04-02,2024-04-02 10:06:36,10.11,13704.55,Resolved
9,7,Power Supply,2024-09-07,2024-09-09 20:09:36,68.16,6315.31,Resolved
10,8,Cooling System,2023-12-26,2023-12-27 09:10:48,33.18,13223.34,Resolved
11,8,Power Supply,2023-02-27,2023-03-01 02:29:24,50.49,4910.78,Resolved
12,8,Software,2023-10-30,2023-10-30 22:41:24,22.69,12814.84,Resolved
13,10,Power Supply,2024-03-26,2024-03-28 07:20:24,55.34,8423.74,Resolved
14,11,Cooling System,2023-10-04,2023-10-04 12:49:12,12.82,5964.8,Resolved
15,11,Connector,2025-06-15,2025-06-16 19:03:36,43.06,11631.74,Resolved
16,12,Hardware,2024-09-29,2024-10-01 11:09:36,59.16,12560.23,Resolved
17,12,Connector,2025-08-18,2025-08-20 22:45:00,70.75,940.21,Resolved
18,12,Hardware,2023-02-09,2023-02-09 06:12:36,6.21,9302.22,Resolved
19,12,Hardware,2025-02-06,2025-02-07 18:45:36,42.76,11266.44,Resolved
20,14,Cooling System,2023-04-20,2023-04-22 17:07:12,65.12,9343.0,Resolved
21,18,Power Supply,2023-01-16,2023-01-17 19:40:48,43.68,10031.07,Resolved
22,18,Hardware,2024-03-08,2024-03-09 09:35:24,33.59,9150.62,Resolved
23,19,Software,2023-04-25,2023-04-25 23:46:48,23.78,12514.5,Resolved
24,23,Cooling System,2023-04-19,2023-04-19 20:31:12,20.52,4287.68,Resolved
25,23,Hardware,2023-07-15,2023-07-15 11:12:00,11.2,9582.03,Resolved
26,23,Power Supply,2024-08-27,2024-08-27 04:44:24,4.74,2460.41,Resolved
27,23,Cooling System,2023-08-21,2023-08-22 09:16:48,33.28,6344.52,Resolved
28,24,Cooling System,2023-12-10,2023-12-11 10:55:48,34.93,13012.13,Resolved
29,24,Connector,2023-08-10,2023-08-12 03:05:24,51.09,14020.95,Resolved
30,24,Hardware,2024-08-07,2024-08-09 11:18:36,59.31,5104.45,Resolved
31,25,Power Supply,2025-05-29,2025-05-30 18:34:48,42.58,2913.45,Resolved
32,28,Power Supply,2023-06-13,2023-06-15 21:06:00,69.1,10273.16,Resolved
33,28,Connector,2025-08-07,2025-08-07 03:03:36,3.06,3287.38,Resolved
34,28,Connector,2025-01-15,2025-01-15 23:42:36,23.71,14752.78,Resolved
35,30,Power Supply,2025-12-06,2025-12-08 17:37:48,65.63,3647.36,Resolved
36,32,Software,2023-03-22,2023-03-22 02:07:12,2.12,13845.24,Resolved
37,33,Power Supply,2025-01-22,2025-01-23 01:12:36,25.21,3683.43,Resolved
38,34,Cooling System,2024-06-01,2024-06-02 15:43:48,39.73,1482.85,Resolved
39,34,Software,2025-11-22,2025-11-22 18:57:36,18.96,13082.64,Resolved
40,35,Connector,2025-01-24,2025-01-25 17:12:36,41.21,3232.88,Resolved
41,35,Cooling System,2025-08-07,2025-08-08 17:39:36,41.66,7105.52,Resolved
42,35,Software,2024-11-07,2024-11-09 08:55:12,56.92,10599.25,Resolved
43,36,Software,2023-03-03,2023-03-04 14:07:12,38.12,3342.31,Resolved
44,36,Hardware,2025-09-05,2025-09-06 11:33:36,35.56,10577.98,Resolved
45,37,Power Supply,2024-08-11,2024-08-12 18:27:36,42.46,14617.25,Resolved
46,37,Power Supply,2024-04-30,2024-05-01 02:52:12,26.87,1341.55,Resolved
47,39,Hardware,2025-06-25,2025-06-26 23:07:48,47.13,14247.56,Resolved
48,41,Hardware,2025-12-03,2025-12-03 16:00:36,16.01,11145.46,Resolved
