station_id,location_id,station_name,opened_date,status,parking_slots
1,1,Delhi EV Hub 1,2022-09-09,Active,16
2,1,Delhi EV Hub 2,2022-04-26,Active,11
3,1,Delhi EV Hub 3,2021-02-08,Active,25
4,1,Delhi EV Hub 4,2022-10-04,Active,9
5,1,Delhi EV Hub 5,2022-12-02,Active,15
6,1,Delhi EV Hub 6,2021-08-02,Active,25
7,1,Delhi EV Hub 7,2022-06-12,Active,30
8,1,Delhi EV Hub 8,2021-06-22,Active,22
9,1,Delhi EV Hub 9,2021-05-08,Active,8
10,1,Delhi EV Hub 10,2022-07-22,Active,18
11,1,Delhi EV Hub 11,2022-03-23,Active,18
12,1,Delhi EV Hub 12,2022-09-19,Active,11
13,1,Delhi EV Hub 13,2021-12-30,Active,27
14,2,Mumbai EV Hub 14,2022-11-18,Active,25
15,2,Mumbai EV Hub 15,2022-08-27,Inactive,20
16,2,Mumbai EV Hub 16,2022-10-13,Active,28
17,2,Mumbai EV Hub 17,2021-04-08,Active,19
18,2,Mumbai EV Hub 18,2021-05-20,Active,10
19,2,Mumbai EV Hub 19,2022-11-16,Active,17
20,2,Mumbai EV Hub 20,2022-10-12,Active,11
21,2,Mumbai EV Hub 21,2021-12-08,Active,28
22,2,Mumbai EV Hub 22,2021-12-24,Active,19
23,2,Mumbai EV Hub 23,2022-06-01,Active,30
24,2,Mumbai EV Hub 24,2021-02-01,Active,27
25,2,Mumbai EV Hub 25,2021-03-22,Active,15
26,2,Mumbai EV Hub 26,2022-07-18,Active,16
27,2,Mumbai EV Hub 27,2021-03-17,Active,15
28,2,Mumbai EV Hub 28,2021-01-30,Active,9
29,2,Mumbai EV Hub 29,2022-05-12,Active,18
30,2,Mumbai EV Hub 30,2021-11-17,Active,14
31,2,Mumbai EV Hub 31,2021-05-31,Active,18
32,2,Mumbai EV Hub 32,2022-05-29,Active,20
33,2,Mumbai EV Hub 33,2021-03-14,Active,16
34,2,Mumbai EV Hub 34,2022-08-12,Active,25
35,2,Mumbai EV Hub 35,2021-06-29,Active,26
36,3,Bengaluru EV Hub 36,2021-05-14,Active,15
37,3,Bengaluru EV Hub 37,2022-08-13,Active,10
38,3,Bengaluru EV Hub 38,2022-11-14,Active,12
39,3,Bengaluru EV Hub 39,2021-03-30,Active,29
40,3,Bengaluru EV Hub 40,2021-10-26,Active,20
41,3,Bengaluru EV Hub 41,2021-12-07,Active,22
42,3,Bengaluru EV Hub 42,2021-07-09,Active,25
43,3,Bengaluru EV Hub 43,2022-12-21,Active,11
44,3,Bengaluru EV Hub 44,2021-02-02,Active,16
45,3,Bengaluru EV Hub 45,2021-03-16,Active,17
46,3,Bengaluru EV Hub 46,2021-10-13,Active,8
47,4,Hyderabad EV Hub 47,2021-08-07,Active,24
48,4,Hyderabad EV Hub 48,2022-09-15,Active,17
49,4,Hyderabad EV Hub 49,2021-03-18,Active,14
50,4,Hyderabad EV Hub 50,2022-07-29,Active,13
51,4,Hyderabad EV Hub 51,2021-06-28,Active,24
52,4,Hyderabad EV Hub 52,2023-01-01,Active,23
53,4,Hyderabad EV Hub 53,2022-12-13,Active,19
54,4,Hyderabad EV Hub 54,2022-02-21,Active,15
55,4,Hyderabad EV Hub 55,2021-05-31,Active,10
56,4,Hyderabad EV Hub 56,2021-08-22,Active,25
57,4,Hyderabad EV Hub 57,2022-08-26,Active,23
58,4,Hyderabad EV Hub 58,2021-06-18,Active,24
59,4,Hyderabad EV Hub 59,2021-04-20,Active,14
60,4,Hyderabad EV Hub 60,2021-06-28,Active,30
61,4,Hyderabad EV Hub 61,2022-06-10,Active,20
62,4,Hyderabad EV Hub 62,2021-02-13,Active,22
63,4,Hyderabad EV Hub 63,2021-07-21,Active,15
64,4,Hyderabad EV Hub 64,2022-05-16,Active,8
65,4,Hyderabad EV Hub 65,2021-05-09,Active,26
66,4,Hyderabad EV Hub 66,2022-05-21,Active,30
67,4,Hyderabad EV Hub 67,2021-03-26,Active,10
68,4,Hyderabad EV Hub 68,2022-11-30,Active,10
69,5,Pune EV Hub 69,2022-05-03,Active,23
70,5,Pune EV Hub 70,2022-05-27,Active,26
71,5,Pune EV Hub 71,2021-05-21,Active,23
72,5,Pune EV Hub 72,2021-11-11,Active,11
73,5,Pune EV Hub 73,2021-02-26,Active,21
74,5,Pune EV Hub 74,2021-11-07,Active,9
75,5,Pune EV Hub 75,2021-02-11,Active,28
