subscription_id,customer_id,plan_name,start_date,end_date,monthly_fee,status
1,10651,Basic,2022-07-08,2024-03-03,199,Expired
2,2042,Basic,2023-05-24,2025-01-29,199,Cancelled
3,8669,Basic,2022-09-09,2023-02-02,199,Cancelled
4,1115,Basic,2022-05-13,2022-11-26,199,Expired
5,13903,Fleet,2022-07-04,2022-10-16,999,Cancelled
6,11964,Premium,2022-06-24,2022-10-07,499,Cancelled
7,11073,Premium,2023-01-10,2024-12-28,499,Expired
8,3003,Fleet,2022-07-20,2023-02-19,999,Expired
9,19772,Fleet,2022-06-26,2023-03-22,999,Expired
10,8116,Fleet,2022-09-01,2022-12-28,999,Expired
11,3526,Basic,2022-04-24,2023-03-26,199,Cancelled
12,7880,Premium,2022-06-30,2023-01-01,499,Expired
13,16442,Premium,2023-04-17,2024-10-11,499,Expired
14,16297,Basic,2022-07-16,2024-03-31,199,Expired
15,12567,Basic,2022-05-07,2022-12-28,199,Expired
16,5253,Basic,2022-07-28,2023-06-27,199,Expired
17,19394,Basic,2022-07-08,2023-09-24,199,Expired
18,16797,Premium,2022-12-11,2023-10-28,499,Expired
19,8095,Basic,2022-09-05,2024-05-01,199,Expired
20,323,Premium,2023-05-21,2023-09-17,499,Expired
21,9924,Basic,2022-07-25,2022-12-16,199,Cancelled
22,7460,Basic,2022-11-03,2023-05-04,199,Expired
23,19025,Basic,2022-06-04,2022-11-23,199,Expired
24,17554,Premium,2022-10-13,2023-12-24,499,Cancelled
25,9120,Basic,2022-05-02,2023-05-21,199,Expired
26,16422,Basic,2022-05-15,2023-05-23,199,Expired
27,16061,Fleet,2022-06-26,2024-03-08,999,Expired
28,10121,Basic,2023-02-26,2023-06-28,199,Expired
29,19056,Premium,2022-04-15,2023-10-31,499,Expired
30,3650,Basic,2022-11-21,2024-02-03,199,Expired
31,3942,Premium,2022-12-18,2024-04-02,499,Expired
32,17881,Basic,2022-09-19,2024-02-05,199,Expired
33,16676,Basic,2022-04-20,2023-05-16,199,Expired
34,12631,Premium,2022-10-24,2023-07-18,499,Expired
35,11444,Premium,2022-06-07,2023-06-19,499,Cancelled
36,12158,Basic,2022-07-26,2022-12-24,199,Expired
37,13836,Basic,2022-03-06,2023-01-08,199,Cancelled
38,3435,Fleet,2022-09-26,2023-03-03,999,Expired
39,18740,Premium,2022-11-05,2024-03-12,499,Expired
40,17408,Basic,2023-06-18,2025-05-14,199,Expired
41,15441,Fleet,2022-04-13,2023-03-12,999,Expired
42,10407,Fleet,2022-08-01,2022-12-21,999,Expired
43,6518,Premium,2022-09-20,2023-06-25,499,Expired
44,972,Fleet,2022-09-16,2024-03-09,999,Expired
45,16488,Premium,2022-08-04,2023-08-23,499,Expired
46,19731,Premium,2022-08-14,2024-05-24,499,Expired
47,13138,Basic,2022-04-29,2023-11-04,199,Expired
48,3670,Basic,2022-09-12,2023-06-14,199,Expired
49,15984,Premium,2022-10-07,2023-10-07,499,Expired
50,4059,Fleet,2022-12-02,2023-09-02,999,Expired
51,14977,Basic,2023-04-13,2024-08-11,199,Expired
52,15699,Basic,2022-03-29,2022-12-28,199,Expired
53,13830,Basic,2022-08-14,2023-05-07,199,Expired
54,13420,Basic,2022-10-02,2023-05-29,199,Expired
55,961,Basic,2023-02-09,2024-11-26,199,Cancelled
56,17745,Basic,2022-08-06,2024-01-02,199,Expired
57,9865,Basic,2023-03-12,2024-10-24,199,Expired
58,11264,Basic,2022-04-08,2022-10-16,199,Expired
59,15783,Fleet,2022-11-23,2024-07-13,999,Expired
60,17197,Premium,2022-07-05,2023-10-23,499,Expired
61,7555,Fleet,2022-09-15,2024-06-07,999,Expired
62,10499,Fleet,2022-03-01,2023-10-09,999,Cancelled
63,17060,Premium,2023-01-22,2024-10-24,499,Expired
64,17929,Premium,2022-05-04,2024-01-18,499,Expired
65,7086,Basic,2022-04-14,2023-02-02,199,Expired
66,14754,Basic,2023-02-16,2024-10-14,199,Expired
67,4520,Basic,2022-11-28,2024-06-25,199,Expired
68,3025,Fleet,2022-11-13,2023-10-03,999,Expired
69,12122,Basic,2023-01-10,2024-09-28,199,Expired
70,18495,Basic,2023-02-04,2024-08-26,199,Cancelled
71,5484,Fleet,2023-03-07,2024-07-31,999,Expired
72,1420,Basic,2022-03-29,2022-11-25,199,Expired
73,6210,Basic,2022-08-22,2024-05-03,199,Expired
74,10743,Basic,2022-11-29,2023-07-09,199,Expired
75,16144,Basic,2023-03-06,2024-04-15,199,Expired
76,17618,Fleet,2022-09-05,2023-08-13,999,Expired
77,14569,Basic,2022-12-31,2023-05-23,199,Expired
78,981,Basic,2022-07-04,2024-04-15,199,Cancelled
79,2784,Premium,2023-04-24,2024-08-08,499,Expired
80,7714,Premium,2023-04-03,2023-10-30,499,Cancelled
81,11519,Basic,2022-07-19,2022-11-26,199,Cancelled
82,8601,Basic,2022-08-15,2023-11-14,199,Expired
83,11641,Basic,2022-07-09,2024-04-15,199,Expired
84,18831,Basic,2022-11-01,2023-07-04,199,Expired
85,12563,Basic,2023-06-11,2024-06-23,199,Expired
86,12752,Premium,2022-08-20,2023-02-01,499,Expired
87,6385,Basic,2023-05-06,2025-03-04,199,Expired
88,4808,Basic,2023-03-10,2023-08-28,199,Expired
89,6196,Premium,2022-06-27,2023-08-20,499,Expired
90,10649,Basic,2022-06-26,2023-08-15,199,Cancelled
91,7568,Fleet,2022-10-30,2024-01-09,999,Expired
92,16398,Basic,2022-06-19,2023-08-30,199,Expired
93,17525,Fleet,2022-11-24,2023-12-21,999,Expired
94,1347,Basic,2022-04-14,2022-09-10,199,Expired
95,13125,Basic,2023-02-21,2024-05-30,199,Expired
96,12674,Basic,2022-04-10,2024-01-15,199,Cancelled
97,15456,Premium,2022-06-05,2023-02-13,499,Expired
98,14002,Premium,2022-06-12,2022-11-03,499,Expired
99,18622,Basic,2022-11-10,2024-03-12,199,Expired
100,2120,Premium,2023-03-03,2024-03-01,499,Expired
101,15305,Basic,2022-07-17,2023-10-30,199,Expired
102,4310,Premium,2022-12-07,2024-09-07,499,Cancelled
103,4485,Premium,2022-11-17,2024-07-08,499,Expired
104,11014,Basic,2022-04-08,2023-04-12,199,Cancelled
105,4771,Basic,2023-04-28,2024-12-20,199,Expired
106,2713,Basic,2023-03-28,2023-12-10,199,Expired
107,12187,Premium,2022-12-07,2023-07-08,499,Expired
108,16616,Basic,2022-12-11,2024-08-06,199,Expired
109,10948,Basic,2022-10-27,2023-01-26,199,Expired
110,2546,Premium,2022-06-01,2024-03-23,499,Expired
111,12620,Premium,2022-12-07,2024-04-28,499,Expired
112,9852,Basic,2022-12-27,2024-12-23,199,Expired
113,4411,Premium,2022-07-03,2023-06-06,499,Expired
114,19648,Basic,2022-02-14,2023-07-12,199,Cancelled
115,12345,Basic,2023-01-10,2023-07-14,199,Expired
116,12408,Basic,2023-02-19,2023-09-18,199,Expired
117,9611,Premium,2022-11-20,2024-09-24,499,Cancelled
118,10719,Premium,2022-10-18,2023-03-21,499,Expired
119,7572,Basic,2022-08-24,2023-10-05,199,Expired
120,3571,Basic,2022-07-11,2023-04-19,199,Expired
121,8603,Premium,2022-06-18,2024-04-02,499,Expired
122,3560,Premium,2023-01-07,2024-04-24,499,Expired
123,4992,Basic,2022-11-03,2023-05-24,199,Expired
124,7440,Fleet,2022-04-13,2023-09-01,999,Expired
125,9326,Basic,2022-07-12,2023-06-20,199,Expired
126,2301,Basic,2022-12-03,2024-01-08,199,Expired
127,7667,Premium,2022-05-11,2023-03-24,499,Expired
128,5805,Basic,2022-07-14,2024-01-25,199,Expired
129,12023,Basic,2022-09-20,2023-09-28,199,Expired
130,15538,Basic,2023-05-09,2025-04-20,199,Expired
131,9758,Premium,2022-06-21,2023-01-06,499,Expired
132,12015,Premium,2023-01-28,2024-10-04,499,Cancelled
133,5212,Premium,2023-01-21,2024-04-06,499,Expired
134,11549,Fleet,2023-01-15,2024-11-08,999,Cancelled
135,12367,Basic,2022-12-25,2023-10-09,199,Cancelled
136,9271,Premium,2022-05-13,2023-10-20,499,Cancelled
137,3976,Basic,2022-11-04,2023-09-22,199,Expired
138,16091,Basic,2022-07-21,2022-12-11,199,Expired
139,17233,Premium,2022-10-25,2023-09-13,499,Expired
140,17444,Premium,2022-11-09,2023-08-16,499,Expired
141,13657,Premium,2023-02-28,2023-08-18,499,Expired
142,15646,Premium,2023-01-22,2024-06-17,499,Cancelled
143,2731,Basic,2022-03-08,2023-02-22,199,Expired
144,3299,Basic,2023-02-17,2024-01-06,199,Expired
145,8957,Basic,2023-01-20,2023-05-25,199,Expired
146,17411,Fleet,2023-04-17,2024-01-23,999,Expired
147,15156,Premium,2022-11-21,2023-12-21,499,Expired
148,17277,Premium,2022-10-20,2023-07-22,499,Expired
149,6704,Premium,2022-03-22,2022-09-07,499,Cancelled
150,1969,Premium,2022-03-28,2022-09-07,499,Expired
151,4937,Basic,2023-02-21,2024-01-30,199,Expired
152,2113,Fleet,2022-07-20,2023-03-30,999,Expired
153,879,Premium,2023-04-10,2024-01-21,499,Expired
154,19076,Basic,2023-01-17,2024-12-01,199,Expired
155,12990,Premium,2022-05-20,2023-07-08,499,Cancelled
156,7278,Basic,2023-03-12,2023-08-28,199,Expired
157,5710,Basic,2023-03-13,2023-07-29,199,Expired
158,12079,Premium,2023-01-08,2023-12-29,499,Expired
159,6688,Basic,2022-09-06,2024-04-08,199,Expired
160,6419,Basic,2022-07-20,2023-03-10,199,Expired
161,10432,Fleet,2023-01-02,2024-12-21,999,Expired
162,9983,Basic,2022-04-24,2022-09-08,199,Expired
163,19074,Basic,2022-10-23,2023-05-07,199,Expired
164,4630,Premium,2022-10-17,2024-10-16,499,Expired
165,8863,Basic,2022-09-01,2023-01-07,199,Expired
166,4668,Basic,2023-01-01,2024-12-02,199,Cancelled
167,14164,Premium,2023-01-26,2024-10-08,499,Cancelled
168,386,Premium,2023-01-12,2023-04-16,499,Expired
169,4187,Premium,2023-03-19,2023-12-17,499,Expired
170,5346,Fleet,2023-01-30,2024-07-16,999,Expired
171,2196,Premium,2022-06-30,2023-06-17,499,Expired
172,14991,Fleet,2022-09-25,2023-06-06,999,Expired
173,12635,Premium,2022-03-02,2023-07-28,499,Expired
174,1078,Premium,2022-06-01,2023-04-01,499,Expired
175,6287,Basic,2022-03-16,2023-08-01,199,Expired
176,5934,Premium,2022-03-21,2023-09-30,499,Expired
177,18513,Basic,2022-05-09,2022-12-24,199,Expired
178,19718,Fleet,2023-01-14,2024-11-25,999,Expired
179,13364,Basic,2023-01-10,2024-06-29,199,Expired
180,8073,Basic,2022-07-05,2023-10-15,199,Expired
181,17021,Basic,2022-04-25,2023-10-09,199,Expired
182,9544,Fleet,2022-04-29,2022-11-27,999,Expired
183,19095,Basic,2022-06-12,2022-09-17,199,Cancelled
184,13356,Premium,2022-09-10,2024-06-10,499,Expired
185,18632,Premium,2022-05-06,2024-01-06,499,Expired
186,2849,Premium,2022-03-15,2023-10-28,499,Expired
187,12792,Premium,2022-02-18,2023-08-31,499,Expired
188,7723,Basic,2022-10-23,2024-08-30,199,Cancelled
189,813,Premium,2022-11-07,2024-02-05,499,Expired
190,11194,Basic,2022-11-19,2024-01-24,199,Cancelled
191,5136,Premium,2022-06-24,2022-11-24,499,Expired
192,8511,Basic,2022-10-29,2024-02-07,199,Expired
193,7435,Fleet,2022-05-25,2023-08-09,999,Expired
194,16477,Basic,2022-06-04,2023-12-29,199,Expired
195,937,Basic,2022-10-03,2023-06-08,199,Expired
196,11966,Basic,2022-09-16,2023-04-26,199,Expired
197,1693,Basic,2022-09-17,2024-03-24,199,Expired
198,6217,Premium,2022-11-09,2024-05-04,499,Expired
199,9460,Premium,2022-09-14,2023-09-10,499,Expired
200,12528,Basic,2023-03-27,2024-03-17,199,Expired
201,15485,Basic,2022-09-16,2023-02-08,199,Expired
202,5793,Basic,2022-02-17,2022-12-13,199,Expired
203,12267,Premium,2022-12-25,2023-09-24,499,Expired
204,2222,Basic,2022-09-24,2023-05-04,199,Expired
205,15758,Basic,2022-08-02,2024-03-08,199,Expired
206,4694,Basic,2023-05-04,2024-02-17,199,Expired
207,10109,Basic,2023-03-10,2025-01-20,199,Expired
208,5108,Basic,2022-09-19,2023-02-21,199,Expired
209,13481,Basic,2022-03-30,2023-02-22,199,Expired
210,4746,Basic,2022-06-11,2023-11-08,199,Expired
211,1605,Premium,2023-01-05,2023-04-20,499,Expired
212,17396,Premium,2022-07-25,2023-08-04,499,Expired
213,16864,Premium,2022-04-24,2023-02-03,499,Expired
214,8214,Premium,2023-02-05,2024-07-19,499,Expired
215,1093,Premium,2023-01-02,2023-05-27,499,Cancelled
216,13885,Premium,2022-09-01,2023-07-31,499,Expired
217,6312,Basic,2022-07-10,2022-11-13,199,Expired
