vehicle_id,customer_id,vehicle_model,vehicle_type,battery_capacity_kwh,purchase_year
1,1,Kia EV6,SUV,77.4,2021
2,2,Tata Punch EV,Hatchback,35.0,2024
3,3,Hyundai Ioniq 5,SUV,72.6,2023
4,4,Hyundai Kona Electric,SUV,39.2,2025
5,5,MG ZS EV,SUV,50.3,2020
6,6,BYD Atto 3,SUV,60.5,2021
7,7,BYD Atto 3,SUV,60.5,2024
8,8,Tata Nexon EV,SUV,30.2,2020
9,9,Hyundai Kona Electric,SUV,39.2,2024
10,10,Tata Tiago EV,Hatchback,24.0,2023
11,11,Hyundai Ioniq 5,SUV,72.6,2024
12,12,Hyundai Kona Electric,SUV,39.2,2020
13,13,Hyundai Ioniq 5,SUV,72.6,2025
14,14,Tata Tiago EV,Hatchback,24.0,2023
15,15,Mahindra XUV400,SUV,39.4,2024
16,16,Mahindra XUV400,SUV,39.4,2020
17,17,Mahindra XUV400,SUV,39.4,2025
18,18,Tata Punch EV,Hatchback,35.0,2023
19,19,Mahindra XUV400,SUV,39.4,2024
20,20,Kia EV6,SUV,77.4,2025
21,21,MG ZS EV,SUV,50.3,2022
22,22,Tata Tiago EV,Hatchback,24.0,2024
23,23,MG ZS EV,SUV,50.3,2024
24,24,Tata Nexon EV,SUV,30.2,2023
25,25,Hyundai Ioniq 5,SUV,72.6,2023
26,26,Hyundai Ioniq 5,SUV,72.6,2024
27,27,Tata Tiago EV,Hatchback,24.0,2022
28,28,Tata Tiago EV,Hatchback,24.0,2024
29,29,BYD Atto 3,SUV,60.5,2022
30,30,Hyundai Ioniq 5,SUV,72.6,2024
31,31,Hyundai Kona Electric,SUV,39.2,2021
32,32,Mahindra BE 6,SUV,59.0,2021
33,33,Tata Tiago EV,Hatchback,24.0,2021
34,34,Tata Punch EV,Hatchback,35.0,2021
35,35,Hyundai Kona Electric,SUV,39.2,2023
36,36,Tata Punch EV,Hatchback,35.0,2021
37,37,Tata Nexon EV,SUV,30.2,2021
38,38,Kia EV6,SUV,77.4,2025
39,39,Mahindra XUV400,SUV,39.4,2025
40,40,Tata Tiago EV,Hatchback,24.0,2020
41,41,Kia EV6,SUV,77.4,2020
42,42,Hyundai Kona Electric,SUV,39.2,2022
43,43,Hyundai Ioniq 5,SUV,72.6,2024
44,44,MG ZS EV,SUV,50.3,2024
45,45,Hyundai Kona Electric,SUV,39.2,2021
46,46,Tata Tiago EV,Hatchback,24.0,2023
47,47,Tata Punch EV,Hatchback,35.0,2024
48,48,Tata Tiago EV,Hatchback,24.0,2020
49,49,BYD Atto 3,SUV,60.5,2020
50,50,Kia EV6,SUV,77.4,2022
51,51,Mahindra XUV400,SUV,39.4,2024
52,52,Mahindra BE 6,SUV,59.0,2024
53,53,Mahindra BE 6,SUV,59.0,2020
54,54,Tata Nexon EV,SUV,30.2,2022
55,55,Mahindra XUV400,SUV,39.4,2020
56,56,Mahindra BE 6,SUV,59.0,2024
57,57,Tata Punch EV,Hatchback,35.0,2023
58,58,BYD Atto 3,SUV,60.5,2021
59,59,Tata Tiago EV,Hatchback,24.0,2022
60,60,Mahindra XUV400,SUV,39.4,2023
61,61,Mahindra XUV400,SUV,39.4,2020
62,62,Tata Tiago EV,Hatchback,24.0,2025
63,63,BYD Atto 3,SUV,60.5,2025
64,64,BYD Atto 3,SUV,60.5,2022
65,65,BYD Atto 3,SUV,60.5,2024
66,66,Mahindra XUV400,SUV,39.4,2022
67,67,Kia EV6,SUV,77.4,2025
68,68,Mahindra XUV400,SUV,39.4,2020
69,69,Mahindra BE 6,SUV,59.0,2023
70,69,Mahindra BE 6,SUV,59.0,2021
71,70,Tata Tiago EV,Hatchback,24.0,2024
72,71,Tata Tiago EV,Hatchback,24.0,2025
73,72,Tata Punch EV,Hatchback,35.0,2024
74,73,Hyundai Ioniq 5,SUV,72.6,2021
75,74,Tata Punch EV,Hatchback,35.0,2025
76,75,BYD Atto 3,SUV,60.5,2021
77,76,Tata Punch EV,Hatchback,35.0,2022
78,77,Kia EV6,SUV,77.4,2025
79,78,BYD Atto 3,SUV,60.5,2023
80,79,Tata Nexon EV,SUV,30.2,2021
81,80,Hyundai Ioniq 5,SUV,72.6,2024
82,81,Tata Nexon EV,SUV,30.2,2025
83,82,Mahindra XUV400,SUV,39.4,2021
84,83,Kia EV6,SUV,77.4,2022
85,84,Kia EV6,SUV,77.4,2025
86,85,Tata Punch EV,Hatchback,35.0,2025
87,86,Kia EV6,SUV,77.4,2023
88,87,Tata Nexon EV,SUV,30.2,2022
89,88,Tata Nexon EV,SUV,30.2,2021
90,89,Hyundai Ioniq 5,SUV,72.6,2025
91,90,Tata Nexon EV,SUV,30.2,2021
92,91,Kia EV6,SUV,77.4,2020
93,92,MG ZS EV,SUV,50.3,2022
94,93,Hyundai Kona Electric,SUV,39.2,2025
95,94,Tata Punch EV,Hatchback,35.0,2023
96,94,Mahindra BE 6,SUV,59.0,2024
97,95,Hyundai Ioniq 5,SUV,72.6,2024
98,96,MG ZS EV,SUV,50.3,2024
99,97,BYD Atto 3,SUV,60.5,2024
100,97,BYD Atto 3,SUV,60.5,2023
101,98,Tata Tiago EV,Hatchback,24.0,2022
102,99,Tata Tiago EV,Hatchback,24.0,2023
103,100,Tata Punch EV,Hatchback,35.0,2025
104,101,Tata Tiago EV,Hatchback,24.0,2022
105,102,Mahindra BE 6,SUV,59.0,2024
106,103,Tata Tiago EV,Hatchback,24.0,2020
107,104,Tata Tiago EV,Hatchback,24.0,2024
108,104,Hyundai Kona Electric,SUV,39.2,2025
109,105,MG ZS EV,SUV,50.3,2023
110,106,Hyundai Ioniq 5,SUV,72.6,2020
111,107,Hyundai Ioniq 5,SUV,72.6,2024
