charger_id,station_id,charger_type,power_kw,connector_type,installation_date,status
1,1,AC,13.22,Type 2,2023-01-25,Active
2,1,AC,19.49,Type 2,2023-02-05,Offline
3,1,AC,20.21,Type 2,2023-01-09,Active
4,1,DC Fast,97.81,CHAdeMO,2023-01-24,Active
5,1,DC Fast,84.29,CCS,2023-01-11,Active
6,1,DC Fast,32.61,CHAdeMO,2023-02-27,Active
7,1,DC Fast,44.85,CHAdeMO,2022-10-11,Maintenance
8,1,DC Fast,111.62,CCS,2022-09-30,Active
9,2,DC Ultra-Fast,186.35,CCS,2022-08-01,Active
10,2,DC Fast,60.38,CHAdeMO,2022-07-06,Active
11,2,DC Fast,52.7,CCS,2022-08-24,Active
12,2,DC Fast,119.99,CHAdeMO,2022-06-22,Active
13,3,AC,7.47,Type 2,2021-03-31,Active
14,3,DC Fast,51.47,CHAdeMO,2021-07-29,Active
15,3,DC Ultra-Fast,243.01,CCS,2021-05-13,Active
16,3,DC Fast,97.31,CCS,2021-03-21,Offline
17,3,AC,7.39,Type 2,2021-07-05,Active
18,3,DC Ultra-Fast,229.33,CCS,2021-02-27,Active
19,3,DC Fast,51.86,CHAdeMO,2021-08-02,Active
20,3,AC,21.76,Type 2,2021-05-07,Active
21,4,DC Fast,75.54,CHAdeMO,2022-10-07,Active
22,4,DC Fast,39.5,CHAdeMO,2023-03-15,Active
23,4,DC Fast,43.77,CCS,2023-02-14,Offline
24,4,AC,19.12,Type 2,2023-01-31,Active
25,4,DC Fast,54.16,CCS,2022-10-26,Active
26,4,DC Fast,97.54,CHAdeMO,2022-12-29,Active
27,4,DC Ultra-Fast,186.37,CCS,2023-01-02,Active
28,4,AC,20.2,Type 2,2023-02-23,Active
29,5,AC,17.8,Type 2,2023-04-23,Active
30,5,DC Fast,88.13,CHAdeMO,2023-03-26,Active
31,5,AC,10.32,Type 2,2023-02-18,Active
32,5,DC Fast,79.81,CHAdeMO,2023-03-20,Maintenance
33,6,AC,17.54,Type 2,2021-10-19,Active
34,6,AC,9.89,Type 2,2021-12-17,Offline
35,6,DC Fast,47.24,CHAdeMO,2021-10-11,Active
36,6,DC Ultra-Fast,254.93,CCS,2021-08-27,Active
37,6,AC,12.41,Type 2,2021-08-05,Active
38,6,AC,7.68,Type 2,2021-12-21,Active
39,6,DC Ultra-Fast,277.57,CCS,2021-08-28,Active
40,7,AC,14.18,Type 2,2022-07-29,Offline
41,7,AC,19.93,Type 2,2022-06-28,Active
42,7,AC,16.44,Type 2,2022-07-20,Active
43,7,DC Fast,57.35,CCS,2022-07-12,Active
44,7,DC Fast,83.65,CCS,2022-10-23,Active
45,7,DC Ultra-Fast,209.47,CCS,2022-08-29,Active
46,7,AC,21.4,Type 2,2022-08-04,Active
47,8,DC Fast,44.14,CCS,2021-11-10,Active
48,8,AC,13.76,Type 2,2021-09-04,Active
49,8,AC,11.24,Type 2,2021-07-10,Active
50,8,DC Ultra-Fast,307.57,CCS,2021-10-08,Active
